Community,Period,Cluster
C1,Day,1
C10,Day,1
C11,Day,1
C12,Day,1
C13,Day,1
C14,Day,1
C15,Day,1
C16,Day,1
C17,Day,1
C18,Day,1
C19,Day,1
C2,Day,1
C20,Day,1
C21,Day,1
C22,Day,1
C23,Day,2
C24,Day,2
C25,Day,2
C26,Day,2
C27,Day,1
C28,Day,2
C29,Day,2
C3,Day,1
C30,Day,1
C31,Day,1
C32,Day,0
C33,Day,1
C34,Day,1
C35,Day,1
C36,Day,1
C37,Day,1
C38,Day,1
C39,Day,1
C4,Day,1
C40,Day,1
C41,Day,1
C42,Day,1
C43,Day,2
C44,Day,2
C45,Day,1
C46,Day,2
C47,Day,1
C48,Day,1
C49,Day,2
C5,Day,1
C50,Day,1
C51,Day,1
C52,Day,1
C53,Day,1
C54,Day,1
C55,Day,1
C56,Day,1
C57,Day,1
C58,Day,1
C59,Day,1
C6,Day,1
C60,Day,1
C61,Day,1
C62,Day,1
C63,Day,1
C64,Day,1
C65,Day,1
C66,Day,2
C67,Day,2
C68,Day,2
C69,Day,2
C7,Day,1
C70,Day,1
C71,Day,2
C72,Day,1
C73,Day,1
C74,Day,1
C75,Day,1
C76,Day,1
C77,Day,1
C8,Day,0
C9,Day,1
C1,Night,1
C10,Night,1
C11,Night,1
C12,Night,1
C13,Night,1
C14,Night,1
C15,Night,1
C16,Night,1
C17,Night,1
C18,Night,1
C19,Night,0
C2,Night,1
C20,Night,1
C21,Night,1
C22,Night,0
C23,Night,0
C24,Night,0
C25,Night,2
C26,Night,0
C27,Night,0
C28,Night,0
C29,Night,0
C3,Night,1
C30,Night,0
C31,Night,1
C32,Night,1
C33,Night,1
C34,Night,1
C35,Night,1
C36,Night,1
C37,Night,1
C38,Night,1
C39,Night,1
C4,Night,1
C40,Night,1
C41,Night,1
C42,Night,0
C43,Night,0
C44,Night,0
C45,Night,1
C46,Night,0
C47,Night,1
C48,Night,1
C49,Night,0
C5,Night,1
C50,Night,1
C51,Night,1
C52,Night,1
C53,Night,0
C54,Night,1
C55,Night,1
C56,Night,1
C57,Night,1
C58,Night,1
C59,Night,1
C6,Night,0
C60,Night,1
C61,Night,0
C62,Night,1
C63,Night,1
C64,Night,1
C65,Night,1
C66,Night,0
C67,Night,0
C68,Night,0
C69,Night,0
C7,Night,1
C70,Night,1
C71,Night,0
C72,Night,1
C73,Night,1
C74,Night,1
C75,Night,1
C76,Night,1
C77,Night,1
C8,Night,0
C9,Night,1
